Word,Freq. count,Freq. per million,Log freq.
abriremos,106,2.548076923,2.029383778
abriría,37,0.889423077,1.579783597
abriríamos,2,0.048076923,0.477121255
abrirían,4,0.096153846,0.698970004
abrirla,224,5.384615385,2.352182518
abrirlas,20,0.480769231,1.322219295
abrirle,90,2.163461538,1.959041392
abrirles,12,0.288461538,1.113943352
abrirlo,234,5.625,2.371067862
abrirlos,48,1.153846154,1.69019608
abrirme,95,2.283653846,1.982271233
abrírmelos,2,0.048076923,0.477121255
abrirnos,34,0.817307692,1.544068044
abrirse,148,3.557692308,2.173186268
abrirte,94,2.259615385,1.977723605
abriste,170,4.086538462,2.23299611
abro,358,8.605769231,2.555094449
abrochaba,3,0.072115385,0.602059991
abrochada,3,0.072115385,0.602059991
abrochados,10,0.240384615,1.041392685
abróchame,8,0.192307692,0.954242509
abrochan,3,0.072115385,0.602059991
abrochar,17,0.408653846,1.255272505
abrocharé,4,0.096153846,0.698970004
abrocharlos,2,0.048076923,0.477121255
abrocharse,8,0.192307692,0.954242509
abrocharte,5,0.120192308,0.77815125
abrochas,2,0.048076923,0.477121255
abrochaste,3,0.072115385,0.602059991
abróchate,60,1.442307692,1.785329835
abroche,4,0.096153846,0.698970004
abrochemos,3,0.072115385,0.602059991
abrochen,16,0.384615385,1.230448921
abróchense,37,0.889423077,1.579783597
abroches,3,0.072115385,0.602059991
abróchese,14,0.336538462,1.176091259
abruma,32,0.769230769,1.51851394
abrumaba,2,0.048076923,0.477121255
abrumada,69,1.658653846,1.84509804
abrumadas,4,0.096153846,0.698970004
abrumado,84,2.019230769,1.929418926
abrumador,88,2.115384615,1.949390007
abrumadora,64,1.538461538,1.812913357
abrumadoras,16,0.384615385,1.230448921
abrumadores,7,0.168269231,0.903089987
abrumados,14,0.336538462,1.176091259
abruman,11,0.264423077,1.079181246
abrumante,4,0.096153846,0.698970004
abrumar,7,0.168269231,0.903089987
abrumaron,5,0.120192308,0.77815125
abrumarte,7,0.168269231,0.903089987
abrumó,9,0.216346154,1
abrupta,27,0.649038462,1.447158031
abruptamente,37,0.889423077,1.579783597
abrupto,31,0.745192308,1.505149978
absceso,44,1.057692308,1.653212514
abscesos,10,0.240384615,1.041392685
absolución,69,1.658653846,1.84509804
absolutamente,2409,57.90865385,3.382017043
absolutas,10,0.240384615,1.041392685
absolutismo,2,0.048076923,0.477121255
absoluto,1523,36.61057692,3.182984967
absolutos,15,0.360576923,1.204119983
absolver,19,0.456730769,1.301029996
absolverla,2,0.048076923,0.477121255
absolverlo,8,0.192307692,0.954242509
absolverme,3,0.072115385,0.602059991
absolverte,5,0.120192308,0.77815125
absolvieron,22,0.528846154,1.361727836
absolvió,10,0.240384615,1.041392685
absorba,20,0.480769231,1.322219295
absorban,6,0.144230769,0.84509804
absorbas,4,0.096153846,0.698970004
absorbe,75,1.802884615,1.880813592
absorben,30,0.721153846,1.491361694
absorbente,20,0.480769231,1.322219295
absorber,79,1.899038462,1.903089987
absorberá,14,0.336538462,1.176091259
absorberán,2,0.048076923,0.477121255
absorberé,3,0.072115385,0.602059991
absorbería,4,0.096153846,0.698970004
absorberla,2,0.048076923,0.477121255
absorberlo,6,0.144230769,0.84509804
absorberlos,6,0.144230769,0.84509804
absorbes,5,0.120192308,0.77815125
absorbí,6,0.144230769,0.84509804
absorbida,22,0.528846154,1.361727836
absorbidas,6,0.144230769,0.84509804
absorbido,34,0.817307692,1.544068044
absorbidos,10,0.240384615,1.041392685
absorbiendo,33,0.793269231,1.531478917
absorbiéndolo,2,0.048076923,0.477121255
absorbiera,2,0.048076923,0.477121255
absorbieran,2,0.048076923,0.477121255
absorbieron,8,0.192307692,0.954242509
absorbió,24,0.576923077,1.397940009
absorbiste,3,0.072115385,0.602059991
absorbo,7,0.168269231,0.903089987
absorción,24,0.576923077,1.397940009
absorta,9,0.216346154,1
absorto,23,0.552884615,1.380211242
absortos,6,0.144230769,0.84509804
abstemia,3,0.072115385,0.602059991
abstemio,13,0.3125,1.146128036
abstención,6,0.144230769,0.84509804
abstendrá,2,0.048076923,0.477121255
abstendrán,2,0.048076923,0.477121255
abstendré,3,0.072115385,0.602059991
abstenemos,2,0.048076923,0.477121255
abstenerme,8,0.192307692,0.954242509
abstenernos,2,0.048076923,0.477121255
abstenerse,13,0.3125,1.146128036
abstenerte,2,0.048076923,0.477121255
abstenga,5,0.120192308,0.77815125
absténgase,3,0.072115385,0.602059991
abstengo,2,0.048076923,0.477121255
abstente,2,0.048076923,0.477121255
abstiene,8,0.192307692,0.954242509
abstienen,5,0.120192308,0.77815125
abstinencia,148,3.557692308,2.173186268
abstinente,3,0.072115385,0.602059991
abstracción,9,0.216346154,1
abstracciones,5,0.120192308,0.77815125
abstracta,19,0.456730769,1.301029996
abstractas,12,0.288461538,1.113943352
abstracto,63,1.514423077,1.806179974
abstractos,10,0.240384615,1.041392685
abstraerse,2,0.048076923,0.477121255
abstraído,10,0.240384615,1.041392685
abstraigo,2,0.048076923,0.477121255
abstuve,4,0.096153846,0.698970004
abstuvo,2,0.048076923,0.477121255
absuelta,12,0.288461538,1.113943352
absueltas,2,0.048076923,0.477121255
absuelto,69,1.658653846,1.84509804
absueltos,13,0.3125,1.146128036
absuelva,9,0.216346154,1
absuélvame,3,0.072115385,0.602059991
absuelvan,7,0.168269231,0.903089987
absuelve,16,0.384615385,1.230448921
absuelven,3,0.072115385,0.602059991
absuelves,2,0.048076923,0.477121255
absuelvo,11,0.264423077,1.079181246
absurda,130,3.125,2.117271296
absurdamente,10,0.240384615,1.041392685
absurdas,52,1.25,1.72427587
absurdeces,2,0.048076923,0.477121255
absurdo,646,15.52884615,2.810904281
absurdos,23,0.552884615,1.380211242
abuchea,3,0.072115385,0.602059991
abucheado,3,0.072115385,0.602059991
abucheador,2,0.048076923,0.477121255
abucheando,3,0.072115385,0.602059991
abuchearon,2,0.048076923,0.477121255
abuchearte,2,0.048076923,0.477121255
abucheaste,2,0.048076923,0.477121255
abucheen,2,0.048076923,0.477121255
abucheo,3,0.072115385,0.602059991
abucheos,15,0.360576923,1.204119983
abuela,4402,105.8173077,3.643748685
abuelas,70,1.682692308,1.851258349
abuelita,320,7.692307692,2.506505032
abuelito,103,2.475961538,2.017033339
abuelitos,6,0.144230769,0.84509804
abuelo,3278,78.79807692,3.515741417
abuelos,353,8.485576923,2.549003262
abultada,15,0.360576923,1.204119983
abultadas,6,0.144230769,0.84509804
abultado,17,0.408653846,1.255272505
abultados,6,0.144230769,0.84509804
abunda,23,0.552884615,1.380211242
abundan,32,0.769230769,1.51851394
abundancia,112,2.692307692,2.053078443
abundando,3,0.072115385,0.602059991
abundante,88,2.115384615,1.949390007
abundantemente,10,0.240384615,1.041392685
abundantes,23,0.552884615,1.380211242
aburguesada,2,0.048076923,0.477121255
aburra,16,0.384615385,1.230448921
abúrrame,2,0.048076923,0.477121255
aburras,18,0.432692308,1.278753601
aburre,137,3.293269231,2.139879086
aburren,29,0.697115385,1.477121255
aburres,53,1.274038462,1.73239376
abúrrete,2,0.048076923,0.477121255
aburrí,37,0.889423077,1.579783597
aburría,18,0.432692308,1.278753601
aburrían,3,0.072115385,0.602059991
aburrías,2,0.048076923,0.477121255
aburrida,620,14.90384615,2.7930916
aburridas,137,3.293269231,2.139879086
aburridísima,9,0.216346154,1
aburridísimas,4,0.096153846,0.698970004
aburridísimo,17,0.408653846,1.255272505
aburridísimos,2,0.048076923,0.477121255
aburrido,1427,34.30288462,3.154728207
aburridor,3,0.072115385,0.602059991
aburridos,209,5.024038462,2.322219295
aburriendo,80,1.923076923,1.908485019
aburriéndome,2,0.048076923,0.477121255
aburriéndote,3,0.072115385,0.602059991
aburrieron,11,0.264423077,1.079181246
aburrimiento,175,4.206730769,2.245512668
aburrimos,12,0.288461538,1.113943352
aburrió,27,0.649038462,1.447158031
aburrir,23,0.552884615,1.380211242
aburrirá,16,0.384615385,1.230448921
aburrirán,4,0.096153846,0.698970004
aburrirás,11,0.264423077,1.079181246
aburriré,11,0.264423077,1.079181246
aburriremos,3,0.072115385,0.602059991
aburriría,16,0.384615385,1.230448921
aburrirían,2,0.048076923,0.477121255
aburrirías,5,0.120192308,0.77815125
aburrirla,3,0.072115385,0.602059991
aburrirle,3,0.072115385,0.602059991
aburrirlo,5,0.120192308,0.77815125
aburrirme,23,0.552884615,1.380211242
aburrirnos,11,0.264423077,1.079181246
aburrirse,21,0.504807692,1.342422681
aburrirte,37,0.889423077,1.579783597
aburrís,2,0.048076923,0.477121255
aburriste,20,0.480769231,1.322219295
aburro,99,2.379807692,2
abusa,48,1.153846154,1.69019608
abusaba,28,0.673076923,1.462397998
abusaban,14,0.336538462,1.176091259
abusada,24,0.576923077,1.397940009
abusadas,6,0.144230769,0.84509804
abusado,83,1.995192308,1.924279286
abusador,65,1.5625,1.819543936
abusadora,7,0.168269231,0.903089987
abusadores,37,0.889423077,1.579783597
abusados,20,0.480769231,1.322219295
abusamos,5,0.120192308,0.77815125
abusan,30,0.721153846,1.491361694
abusando,56,1.346153846,1.755874856
