"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","X","prob","source","log_spanish","length","log_freq_z","duration_z","length_z","rate_z"
"28",2866,"arm","00610","00629655854","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,2.586,3.076,"trabajar",9,"trabajar",10.9863287955523,"m",89588,9857,236.9471154,3.993788814,0.49,24,0.00451767485311575,"spanish",-5.39975783052126,8,0.340515638083809,1.10390237630868,1.72208066502842,0.739741061588319
"29",2924,"arm","00610","00631798630","TextGrid",1,"ORT-MAU","IntervalTier",0,6.570667,1.066,1.436,"viajar",4,"viajar",10.3490254490145,"m",92891,1136,27.30769231,3.055760465,0.37,25,0.00335883996676206,"spanish",-5.69615961260631,6,-0.610249172092718,0.117029110173282,0.189222159869235,0.46364347351222
"30",3039,"arm","00610","00635325243","TextGrid",1,"ORT-MAU","IntervalTier",0,6.656,1.816,2.266,"pozo",5,"pozo",6.61057692307692,"m",70137,682,16.39423077,2.834420704,0.45,26,4.05228486435749e-05,"spanish",-10.1136445788936,4,-0.834594263662742,0.774944620930216,-1.34363634528995,-1.15595671651565
"31",3118,"arm","00610","00645568864","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.076,2.406,"sobre",8,"sobre",11.7187508322976,"m",84415,46931,1128.149038,4.671469062,0.33,27,0.000892318474801213,"spanish",-7.02168745457542,5,1.02739736509876,-0.211928645205182,-0.577207092710356,1.05704671971445
"32",3168,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,0.426,0.686,"Quiero",2,"quiero",8.02951388888889,"m",73716,82097,1973.485577,4.914332577,0.26,11,0.00232463730339408,"spanish",-6.06419125065204,6,1.27355845818719,-0.787604717117499,0.189222159869235,-0.541233639944656
"33",3186,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.166,1.496,"tipo",5,"tipo",8.02951388888889,"m",88724,29901,718.7740385,4.475700237,0.33,28,5.06400856622041e-05,"spanish",-9.89076708853808,4,0.828970409305754,-0.211928645205182,-1.34363634528995,-0.541233639944656
"34",3192,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.496,1.966,"pizza",6,"pizza",8.02951388888889,"m",68965,1554,37.35576923,3.191730393,0.47,29,1.18897779766063e-05,"spanish",-11.3398315205557,5,-0.4724330571294,0.939423498619449,-0.577207092710356,-0.541233639944656
"35",3237,"arm","00610","00695547029","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.106,1.456,"parece",4,"parece",7.8125,"m",65800,37122,892.3557692,4.569643065,0.35,30,0.00412890100557028,"spanish",-5.48974400776635,6,0.924188784236624,-0.047449767515951,0.189222159869235,-0.635250110479043
"36",3274,"arm","00610","00695547029","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,2.666,3.136,"español",10,"español",7.8125,"m",39022,802,19.27884615,2.904715545,0.47,31,0.000526152961928168,"spanish",-7.54991858535651,7,-0.763344965887249,0.939423498619451,0.955651412448826,-0.635250110479043
"37",3393,"arm","00610","00757881212","TextGrid",1,"ORT-MAU","IntervalTier",0,6.912,1.536,1.766,"poco",4,"poco",10.9953703703704,"m",69345,36391,874.7836538,4.561005924,0.23,32,0.000271501596711907,"spanish",-8.21154253753241,4,0.915434368944071,-1.03432303365135,-1.34363634528995,0.743658124025303
